Interest Rate,Loan Life,Initial Default Probability,price_machine,default_decay,final_default,recovery_rate,num_iterations,IRR
0.3,5,0.1,1000000,0.9,0.4,0.4,10,0.10609568312097198
0.3,5,0.1,2000000,0.8,0.5,0.3,10,-0.026477703556420106
0.3,5,0.2,1000000,0.9,0.4,0.4,10,-0.07987011024720206
0.3,5,0.2,2000000,0.8,0.5,0.3,10,-0.06852480506172787
0.3,5,0.3,1000000,0.9,0.4,0.4,10,0.002564938474819467
0.3,5,0.3,2000000,0.8,0.5,0.3,10,-0.17343243969032174
0.3,10,0.1,1000000,0.9,0.4,0.4,10,0.04897100934730655
0.3,10,0.1,2000000,0.8,0.5,0.3,10,0.11454690868685627
0.3,10,0.2,1000000,0.9,0.4,0.4,10,0.006684036249039982
0.3,10,0.2,2000000,0.8,0.5,0.3,10,0.038293364701741925
0.3,10,0.3,1000000,0.9,0.4,0.4,10,0.07742961880322179
0.3,10,0.3,2000000,0.8,0.5,0.3,10,-0.107073536838396
0.3,20,0.1,1000000,0.9,0.4,0.4,10,0.04287966570859897
0.3,20,0.1,2000000,0.8,0.5,0.3,10,0.2580325787368577
0.3,20,0.2,1000000,0.9,0.4,0.4,10,0.1059037244304614
0.3,20,0.2,2000000,0.8,0.5,0.3,10,0.10275723587705628
0.3,20,0.3,1000000,0.9,0.4,0.4,10,0.042797048934525087
0.3,20,0.3,2000000,0.8,0.5,0.3,10,-0.009627921472314182
0.35,5,0.1,1000000,0.9,0.4,0.4,10,0.10457409408900782
0.35,5,0.1,2000000,0.8,0.5,0.3,10,0.19892123517475135
0.35,5,0.2,1000000,0.9,0.4,0.4,10,0.13042953436494759
0.35,5,0.2,2000000,0.8,0.5,0.3,10,-0.02906672918996108
0.35,5,0.3,1000000,0.9,0.4,0.4,10,-0.14347221762846216
0.35,5,0.3,2000000,0.8,0.5,0.3,10,-0.044211867864035304
0.35,10,0.1,1000000,0.9,0.4,0.4,10,0.19236684944581658
0.35,10,0.1,2000000,0.8,0.5,0.3,10,0.17206948877675457
0.35,10,0.2,1000000,0.9,0.4,0.4,10,0.15190044927894752
0.35,10,0.2,2000000,0.8,0.5,0.3,10,0.07777767370810082
0.35,10,0.3,1000000,0.9,0.4,0.4,10,-0.16066570172310204
0.35,10,0.3,2000000,0.8,0.5,0.3,10,0.050861884263840515
0.35,20,0.1,1000000,0.9,0.4,0.4,10,0.19143323629884662
0.35,20,0.1,2000000,0.8,0.5,0.3,10,0.23079472283511068
0.35,20,0.2,1000000,0.9,0.4,0.4,10,-0.020656561018074882
0.35,20,0.2,2000000,0.8,0.5,0.3,10,-0.015484836235310518
0.35,20,0.3,1000000,0.9,0.4,0.4,10,0.02037515094755059
0.35,20,0.3,2000000,0.8,0.5,0.3,10,-0.0511486710374078
0.4,5,0.1,1000000,0.9,0.4,0.4,10,0.31084454200421974
0.4,5,0.1,2000000,0.8,0.5,0.3,10,0.3122437818637443
0.4,5,0.2,1000000,0.9,0.4,0.4,10,0.13518391780632366
0.4,5,0.2,2000000,0.8,0.5,0.3,10,0.042565977008112044
0.4,5,0.3,1000000,0.9,0.4,0.4,10,0.18433257718213153
0.4,5,0.3,2000000,0.8,0.5,0.3,10,0.10769970324443778
0.4,10,0.1,1000000,0.9,0.4,0.4,10,0.35432305294131583
0.4,10,0.1,2000000,0.8,0.5,0.3,10,-0.007117071617104209
0.4,10,0.2,1000000,0.9,0.4,0.4,10,0.053142597492733125
0.4,10,0.2,2000000,0.8,0.5,0.3,10,0.19053270019922633
0.4,10,0.3,1000000,0.9,0.4,0.4,10,0.1590987478986831
0.4,10,0.3,2000000,0.8,0.5,0.3,10,-0.13945889337276063
0.4,20,0.1,1000000,0.9,0.4,0.4,10,0.260287295739968
0.4,20,0.1,2000000,0.8,0.5,0.3,10,0.18016249616749228
0.4,20,0.2,1000000,0.9,0.4,0.4,10,0.06551107308394631
0.4,20,0.2,2000000,0.8,0.5,0.3,10,0.10445110103945536
0.4,20,0.3,1000000,0.9,0.4,0.4,10,0.01773297343912328
0.4,20,0.3,2000000,0.8,0.5,0.3,10,0.08670572758005232
